date,description,is_bank_holiday,is_semester_break,is_bridge_day
2026-01-01,New Year,TRUE,FALSE,FALSE
2026-01-05,Bridge Day (Heilige 3 K),FALSE,FALSE,TRUE
2026-01-06,Heilige 3 K,TRUE,FALSE,FALSE
2026-03-30,Easter Break Start,FALSE,TRUE,FALSE
2026-03-31,Easter Break,FALSE,TRUE,FALSE
2026-04-01,Easter Break,FALSE,TRUE,FALSE
2026-04-02,Easter Break,FALSE,TRUE,FALSE
2026-04-03,Good Friday,TRUE,TRUE,FALSE
2026-04-04,Easter Break,FALSE,TRUE,FALSE
2026-04-05,Easter Break,FALSE,TRUE,FALSE
2026-04-06,Easter Monday,TRUE,TRUE,FALSE
2026-04-07,Easter Break,FALSE,TRUE,FALSE
2026-04-08,Easter Break,FALSE,TRUE,FALSE
2026-04-09,Easter Break,FALSE,TRUE,FALSE
2026-04-10,Easter Break End,FALSE,TRUE,FALSE
2026-05-01,Labour Day,TRUE,FALSE,FALSE
2026-05-14,Ascension Day,TRUE,FALSE,FALSE
2026-05-15,Bridge Day (after Ascension),FALSE,FALSE,TRUE
2026-05-25,Whit Monday,TRUE,FALSE,FALSE
2026-06-04,Corpus Christi,TRUE,FALSE,FALSE
2026-06-05,Bridge Day (after Corpus Christi),FALSE,FALSE,TRUE
2026-06-29,Summer Break Start,FALSE,TRUE,FALSE
2026-06-30,Summer Break,FALSE,TRUE,FALSE
2026-07-01,Summer Break,FALSE,TRUE,FALSE
2026-07-02,Summer Break,FALSE,TRUE,FALSE
2026-07-03,Summer Break,FALSE,TRUE,FALSE
2026-07-04,Summer Break,FALSE,TRUE,FALSE
2026-07-05,Summer Break,FALSE,TRUE,FALSE
2026-07-06,Summer Break,FALSE,TRUE,FALSE
2026-07-07,Summer Break,FALSE,TRUE,FALSE
2026-07-08,Summer Break,FALSE,TRUE,FALSE
2026-07-09,Summer Break,FALSE,TRUE,FALSE
2026-07-10,Summer Break,FALSE,TRUE,FALSE
2026-07-11,Summer Break,FALSE,TRUE,FALSE
2026-07-12,Summer Break,FALSE,TRUE,FALSE
2026-07-13,Summer Break,FALSE,TRUE,FALSE
2026-07-14,Summer Break,FALSE,TRUE,FALSE
2026-07-15,Summer Break,FALSE,TRUE,FALSE
2026-07-16,Summer Break,FALSE,TRUE,FALSE
2026-07-17,Summer Break,FALSE,TRUE,FALSE
2026-07-18,Summer Break,FALSE,TRUE,FALSE
2026-07-19,Summer Break,FALSE,TRUE,FALSE
2026-07-20,Summer Break,FALSE,TRUE,FALSE
2026-07-21,Summer Break,FALSE,TRUE,FALSE
2026-07-22,Summer Break,FALSE,TRUE,FALSE
2026-07-23,Summer Break,FALSE,TRUE,FALSE
2026-07-24,Summer Break,FALSE,TRUE,FALSE
2026-07-25,Summer Break,FALSE,TRUE,FALSE
2026-07-26,Summer Break,FALSE,TRUE,FALSE
2026-07-27,Summer Break,FALSE,TRUE,FALSE
2026-07-28,Summer Break,FALSE,TRUE,FALSE
2026-07-29,Summer Break,FALSE,TRUE,FALSE
2026-07-30,Summer Break,FALSE,TRUE,FALSE
2026-07-31,Summer Break,FALSE,TRUE,FALSE
2026-08-01,Summer Break,FALSE,TRUE,FALSE
2026-08-02,Summer Break,FALSE,TRUE,FALSE
2026-08-03,Summer Break,FALSE,TRUE,FALSE
2026-08-04,Summer Break,FALSE,TRUE,FALSE
2026-08-05,Summer Break,FALSE,TRUE,FALSE
2026-08-06,Summer Break,FALSE,TRUE,FALSE
2026-08-07,Summer Break End,FALSE,TRUE,FALSE
2026-10-03,German Unity Day,TRUE,FALSE,FALSE
2026-10-05,Autumn Break Start,FALSE,TRUE,FALSE
2026-10-06,Autumn Break,FALSE,TRUE,FALSE
2026-10-07,Autumn Break,FALSE,TRUE,FALSE
2026-10-08,Autumn Break,FALSE,TRUE,FALSE
2026-10-09,Autumn Break,FALSE,TRUE,FALSE
2026-10-10,Autumn Break,FALSE,TRUE,FALSE
2026-10-11,Autumn Break,FALSE,TRUE,FALSE
2026-10-12,Autumn Break,FALSE,TRUE,FALSE
2026-10-13,Autumn Break,FALSE,TRUE,FALSE
2026-10-14,Autumn Break,FALSE,TRUE,FALSE
2026-10-15,Autumn Break,FALSE,TRUE,FALSE
2026-10-16,Autumn Break,FALSE,TRUE,FALSE
2026-10-17,Autumn Break End,FALSE,TRUE,FALSE
2026-12-23,Christmas Break Start,FALSE,TRUE,FALSE
2026-12-24,Christmas Break,FALSE,TRUE,FALSE
2026-12-25,Christmas Day,TRUE,TRUE,FALSE
2026-12-26,Boxing Day,TRUE,TRUE,FALSE
2026-12-27,Christmas Break,FALSE,TRUE,FALSE
2026-12-28,Christmas Break,FALSE,TRUE,FALSE
2026-12-29,Christmas Break,FALSE,TRUE,FALSE
2026-12-30,Christmas Break,FALSE,TRUE,FALSE
2026-12-31,Christmas Break,FALSE,TRUE,FALSE
2027-01-01,New Year,TRUE,TRUE,FALSE
2027-01-02,Christmas Break,FALSE,TRUE,FALSE
2027-01-03,Christmas Break,FALSE,TRUE,FALSE
2027-01-04,Christmas Break,FALSE,TRUE,FALSE
2027-01-05,Christmas Break,FALSE,TRUE,FALSE
2027-01-06,Christmas Break,FALSE,TRUE,FALSE
2027-01-07,Christmas Break,FALSE,TRUE,FALSE
2027-01-08,Christmas Break,FALSE,TRUE,FALSE
2027-01-09,Christmas Break,FALSE,TRUE,FALSE
2027-01-10,Christmas Break,FALSE,TRUE,FALSE
2027-01-11,Christmas Break,FALSE,TRUE,FALSE
2027-01-12,Christmas Break End,FALSE,TRUE,FALSE
2027-03-22,Easter Break Start,FALSE,TRUE,FALSE
2027-03-23,Easter Break,FALSE,TRUE,FALSE
2027-03-24,Easter Break,FALSE,TRUE,FALSE
2027-03-25,Easter Break,FALSE,TRUE,FALSE
2027-03-26,Good Friday,TRUE,TRUE,FALSE
2027-03-27,Easter Break,FALSE,TRUE,FALSE
2027-03-28,Easter Break,FALSE,TRUE,FALSE
2027-03-29,Easter Monday,TRUE,TRUE,FALSE
2027-03-30,Easter Break,FALSE,TRUE,FALSE
2027-03-31,Easter Break,FALSE,TRUE,FALSE
2027-04-01,Easter Break,FALSE,TRUE,FALSE
2027-04-02,Easter Break End,FALSE,TRUE,FALSE
2027-05-01,Labour Day,TRUE,FALSE,FALSE
2027-05-06,Ascension Day,TRUE,FALSE,FALSE
2027-05-07,Bridge Day (after Ascension),FALSE,FALSE,TRUE
2027-05-17,Whit Monday,TRUE,FALSE,FALSE
2027-05-27,Corpus Christi,TRUE,FALSE,FALSE
2027-05-28,Bridge Day (after Corpus Christi),FALSE,FALSE,TRUE
2027-06-28,Summer Break Start,FALSE,TRUE,FALSE
2027-06-29,Summer Break,FALSE,TRUE,FALSE
2027-06-30,Summer Break,FALSE,TRUE,FALSE
2027-07-01,Summer Break,FALSE,TRUE,FALSE
2027-07-02,Summer Break,FALSE,TRUE,FALSE
2027-07-03,Summer Break,FALSE,TRUE,FALSE
2027-07-04,Summer Break,FALSE,TRUE,FALSE
2027-07-05,Summer Break,FALSE,TRUE,FALSE
2027-07-06,Summer Break,FALSE,TRUE,FALSE
2027-07-07,Summer Break,FALSE,TRUE,FALSE
